url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
https://www.rottentomatoes.com/m/secrets,,,
https://www.rottentomatoes.com/m/a_bloodthirsty_killer,,,
https://www.rottentomatoes.com/m/love_birds,,,
https://www.rottentomatoes.com/m/addicted_to_murder_2_tainted_blood,,,
https://www.rottentomatoes.com/m/dantes-inferno,,70,
https://www.rottentomatoes.com/m/the_demented,,8,
https://www.rottentomatoes.com/m/the_last_days_on_mars,18,25,"Neither intelligent enough to work as thought-provoking sci-fi nor trashy enough to provide B-movie thrills,The Last Days on Marsproves as cinematically barren as the titular planet."
https://www.rottentomatoes.com/m/lucid_dream,,42,
https://www.rottentomatoes.com/m/hostile,,,
https://www.rottentomatoes.com/m/the_moonlight_sonata,,,
https://www.rottentomatoes.com/m/beverly_hills_vamp,,28,
https://www.rottentomatoes.com/m/dark_side_of_the_moon,,22,
https://www.rottentomatoes.com/m/we_all_fall_down,,,
https://www.rottentomatoes.com/m/vampfather,,,
https://www.rottentomatoes.com/m/buried_alive,,13,
https://www.rottentomatoes.com/m/my_valentine,,60,
https://www.rottentomatoes.com/m/the_furies,92,79,
https://www.rottentomatoes.com/m/the_beckoning,,,
https://www.rottentomatoes.com/m/the_sonata,50,61,
https://www.rottentomatoes.com/m/cruel_summer,,38,
https://www.rottentomatoes.com/m/mikadroid_robokill_beneath_disco_club_layla,,,
https://www.rottentomatoes.com/m/3_33,,,
https://www.rottentomatoes.com/m/practice_makes_perfect,,,
https://www.rottentomatoes.com/m/the_hollow,40,61,
https://www.rottentomatoes.com/m/scarlet_moon,,,
https://www.rottentomatoes.com/m/hells_garden,,,
https://www.rottentomatoes.com/m/black_emanuelle_2,,57,
https://www.rottentomatoes.com/m/the_monkeys_paw,,,
https://www.rottentomatoes.com/m/haunted_honeymoon,10,53,
https://www.rottentomatoes.com/m/as_night_falls,,,
https://www.rottentomatoes.com/m/animal,,,
https://www.rottentomatoes.com/m/witch_house_the_legend_of_petronel_haxley,,,
https://www.rottentomatoes.com/m/jaws_2,56,40,"Jaws 2never approaches the lingering thrills of its classic predecessor, but it's reasonably entertaining for a sequel that has no reason to exist."
https://www.rottentomatoes.com/m/uncle,,,
https://www.rottentomatoes.com/m/the_granny,,41,
https://www.rottentomatoes.com/m/goal_of_the_dead,,35,
https://www.rottentomatoes.com/m/the_light,,,
https://www.rottentomatoes.com/m/chhorii,22,60,
https://www.rottentomatoes.com/m/vultures,,,
https://www.rottentomatoes.com/m/who_is_she,,,
https://www.rottentomatoes.com/m/final,44,35,
https://www.rottentomatoes.com/m/mirror_mirror,,30,
https://www.rottentomatoes.com/m/wine_creek,,,
https://www.rottentomatoes.com/m/hellvira_on_the_run,,,
https://www.rottentomatoes.com/m/the_tell_tale_heart,,,
https://www.rottentomatoes.com/m/black,71,90,
https://www.rottentomatoes.com/m/night_night,,50,
https://www.rottentomatoes.com/m/highway_to_hell,,51,
https://www.rottentomatoes.com/m/the_scarehouse,,29,
https://www.rottentomatoes.com/m/the_night_they_knocked,,9,
https://www.rottentomatoes.com/m/the_beast_with_a_million_eyes,,9,
https://www.rottentomatoes.com/m/the_maze,,25,
https://www.rottentomatoes.com/m/abraham_lincoln_vs_zombies,,22,
https://www.rottentomatoes.com/m/basement,,0,
https://www.rottentomatoes.com/m/dead_dad,,,
https://www.rottentomatoes.com/m/miss_zombie,,50,
https://www.rottentomatoes.com/m/a_devils_night_in_detroit,,,
https://www.rottentomatoes.com/m/alive,,,
https://www.rottentomatoes.com/m/thriller,,89,
https://www.rottentomatoes.com/m/wicked_little_things,,34,
https://www.rottentomatoes.com/m/dummy,,,
https://www.rottentomatoes.com/m/the_other,,,
https://www.rottentomatoes.com/m/the_3rd_guest,,90,
https://www.rottentomatoes.com/m/blind_justice,,,
https://www.rottentomatoes.com/m/uncanny_annie,,25,
https://www.rottentomatoes.com/m/phantasmagoria,,,
https://www.rottentomatoes.com/m/senritsu_kaiki_file_kowasugi_file_03_legend_of_a_human_eating_kappa,,,
https://www.rottentomatoes.com/m/7_deadly_sins,,,
https://www.rottentomatoes.com/m/intrusion,,,
https://www.rottentomatoes.com/m/labyrinth,78,86,"While it's arguably more interesting on a visual level,Labyrinthprovides further proof of director Jim Henson's boundless imagination."
https://www.rottentomatoes.com/m/dead_silence,22,51,"More tasteful than recent slasher flicks, butDead Silenceis undone by boring characters, bland dialogue, and an unnecessary and obvious twist ending."
https://www.rottentomatoes.com/m/blood_conscious,80,17,
https://www.rottentomatoes.com/m/filthy_mcnasty,,40,
https://www.rottentomatoes.com/m/the_cat_o_nine_tails,81,53,The Cat O'Nine Tailsis a solidly entertaining Argento outing elevated by a well-chosen cast and the director's distinctive visual style.
https://www.rottentomatoes.com/m/it_happened_one_weekend,,,
https://www.rottentomatoes.com/m/the_inevitable,,,
https://www.rottentomatoes.com/m/dont_peek,,,
https://www.rottentomatoes.com/m/yoga,,,
https://www.rottentomatoes.com/m/tied_in_blood,,,
https://www.rottentomatoes.com/m/housewife_from_hell,,,
https://www.rottentomatoes.com/m/african_kung_fu_nazis,,100,
https://www.rottentomatoes.com/m/jeepers_creepers,47,49,"Jeepers Creepers has a promising start. Unfortunately, the tension and suspense quickly deflates into genre cliches as movie goes on."
https://www.rottentomatoes.com/m/fade-to-black,58,89,
https://www.rottentomatoes.com/m/fade_to_black,,,
https://www.rottentomatoes.com/m/aranmanai_3,,,
https://www.rottentomatoes.com/m/too-late-to-say-goodbye,,43,
https://www.rottentomatoes.com/m/lust-for-frankenstein,,23,
https://www.rottentomatoes.com/m/the_ape,88,58,
https://www.rottentomatoes.com/m/fish,,,
https://www.rottentomatoes.com/m/the_tokoloshe,,55,
https://www.rottentomatoes.com/m/a_cursed_man,,92,
https://www.rottentomatoes.com/m/atrocious,56,29,
https://www.rottentomatoes.com/m/the_phone_call,,91,
https://www.rottentomatoes.com/m/schism,,,
https://www.rottentomatoes.com/m/la_chienne,100,86,
https://www.rottentomatoes.com/m/the_theatre_bizarre,44,36,
https://www.rottentomatoes.com/m/the_black_widow,,,
https://www.rottentomatoes.com/m/the_evil_clergyman,,40,
https://www.rottentomatoes.com/m/beneath_the_black_veil,,,
https://www.rottentomatoes.com/m/lukas-child,,,
https://www.rottentomatoes.com/m/inferno,,,
https://www.rottentomatoes.com/m/2_11_day_of_the_dead,,,
https://www.rottentomatoes.com/m/scissors,,30,
https://www.rottentomatoes.com/m/the_ferryman,,,
https://www.rottentomatoes.com/m/baphomet,80,22,
https://www.rottentomatoes.com/m/nothing_left_to_fear,10,17,
https://www.rottentomatoes.com/m/wacko,,37,
https://www.rottentomatoes.com/m/dracula_has_risen_from_the_grave,81,61,
https://www.rottentomatoes.com/m/man_finds_tape,83,,"Man Finds Tapeis a smart, slow-burning directorial debut that delivers layered, imaginative horror with strong performances and compelling mysteries."
https://www.rottentomatoes.com/m/shelby_oaks,55,53,"Shelby Oaksmay stumble in its final moments, but its atmospheric tension and emotional core firmly establish it as a chilling debut from director Chris Stuckmann."
https://www.rottentomatoes.com/m/alone_in_the_dark,1,11,"Inept on almost every level, Alone in the Dark may not work as a thriller, but it's good for some head-slapping, incredulous laughter."
https://www.rottentomatoes.com/m/blood_sweat_and_terrors,,,
https://www.rottentomatoes.com/m/manborg,88,59,
https://www.rottentomatoes.com/m/recycled_parts,,,
https://www.rottentomatoes.com/m/blood-ties,,59,
https://www.rottentomatoes.com/m/dead_end,,,
https://www.rottentomatoes.com/m/church_of_darkness,,,
https://www.rottentomatoes.com/m/panic_room,76,64,"Elevated by David Fincher's directorial talent and Jodie Foster's performance,Panic Roomis a well-crafted, above-average thriller."
https://www.rottentomatoes.com/m/big_freakin_snake,,,
https://www.rottentomatoes.com/m/sinner,,,
https://www.rottentomatoes.com/m/metamorphosis,,,
https://www.rottentomatoes.com/m/exit_38,,,
https://www.rottentomatoes.com/m/quid_games,,,
https://www.rottentomatoes.com/m/fire_island,,39,
https://www.rottentomatoes.com/m/displaced,,,
https://www.rottentomatoes.com/m/trolled,,,
https://www.rottentomatoes.com/m/fired,44,45,This well-intentioned documentary is too broad in its subjects to have any sort of cohesion.
https://www.rottentomatoes.com/m/pillow_party_massacre,,20,
https://www.rottentomatoes.com/m/face-of-terror,,35,
