tconst,tmdb_id,title,primaryTitle,genres,averageRating,numVotes
tt12555612,845152,Ride with the Guilt,Ride with the Guilt,,5.8,33.0
tt12581902,718792,The Genie Raid,The Genie Raid,Horror,2.0,52.0
tt12593058,927771,Girl Gone Bad,Girl Gone Bad,"Horror, Romance, Thriller",4.5,268.0
tt12597710,696785,Time's Up!,Time's Up,Horror,3.8,164.0
tt1260497,194659,Hallucinations,Hallucinations,,5.3,216.0
tt12623316,814048,Dark Mountain,Dark Mountain,,10.0,10.0
tt1262406,42916,Fading of the Cries,Fading of the Cries,"Action, Fantasy, Horror",3.0,1848.0
tt1263784,424465,Forest Primeval,Forest Primeval,,3.7,109.0
tt1265616,1214926,The Id Proxy,The Id Proxy,Horror,5.9,27.0
tt1266554,1499927,Dust & Death,Dust & Death,,,
tt1267299,377448,The Rocky Horror Picture Show: Let's Do the Time Warp Again,The Rocky Horror Picture Show: Let's Do the Time Warp Again,"Comedy, Horror, Musical",4.2,8211.0
tt12695338,783061,All American Massacre,All American Massacre,Horror,6.6,44.0
tt1270096,220386,The Invisible Chronicles,The Invisible Chronicles,Thriller,3.1,185.0
tt12703400,731222,I Think We're Alone Now,I Think We're Alone Now,Horror,5.0,33.0
tt12726558,1670558,Stay Safe,Stay Safe,,5.8,33.0
tt12727546,1251248,Beast of Prey,Beast of Prey,,6.9,18.0
tt1273207,77067,DeadHeads,Deadheads,"Adventure, Comedy, Horror",5.3,5711.0
tt1276376,388194,At the House of Madness,At the House of Madness,,4.7,48.0
tt1278340,14451,Dead Snow,Dead Snow,"Comedy, Fantasy, Horror",6.3,72945.0
tt12801814,728874,Violation,Violation,"Drama, Horror",5.3,4981.0
tt1282036,37776,Dead Fury,Dead Fury,"Action, Animation, Comedy",4.1,231.0
tt12829654,1039871,The Zompocalypse Therapy Sessions,The Zompocalypse Therapy Sessions,"Comedy, Horror",6.2,59.0
tt1283876,683699,Able,Able,Horror,5.4,48.0
tt1283943,766814,Keith Parker's Shadow People,Keith Parker's Shadow People,,3.0,63.0
tt12840422,1042952,Exhibit #8,Exhibit #8,"Horror, Thriller",5.4,153.0
tt12847806,1098118,"Boobs, Blood, and Mayhem","Boobs, Blood, and Mayhem: Volume 1","Action, Drama, Fantasy",3.0,30.0
tt12850860,1243103,The Forgotten,The Forgotten,,7.2,9.0
tt12850872,688738,Pináculo da Miséria,Pináculo da Miséria,,,
tt1285216,39322,Dark Nature,Dark Nature,"Horror, Thriller",3.1,317.0
tt1285217,49988,Deadfall Trail,Deadfall Trail,"Horror, Thriller",4.0,780.0
tt12861212,711643,Chhorii,Chhorii,"Drama, Horror, Mystery",6.7,7291.0
tt1288399,212599,Squeal,Squeal,Horror,3.6,377.0
tt12887698,896161,Hiya Janice,Hiya Janice,,,
tt12935074,645431,The Devil's Familiar,The Devil's Familiar,Horror,3.1,175.0
tt12938150,881053,Unspeakable Things,Unspeakable Things,,,
tt1294789,557854,Doomsday County,Doomsday County,Horror,4.6,93.0
tt12953434,757173,Clownz R Us,Clownz R Us,"Horror, Thriller",6.5,20.0
tt12970066,931312,Five Remakes of Ringu,Five Remakes of Ringu,,,
tt12980468,759373,The Lost Vlog of Ruby Real,The Lost Vlog of Ruby Real,"Horror, Sci-Fi, Thriller",3.7,302.0
tt12988602,738065,Garden Tool Massacre,Garden Tool Massacre,Horror,3.0,96.0
tt13005112,1037359,The Barefoot Virgin,The Barefoot Virgin,,,
tt1300575,211676,Demon Slaughter,Demon Slaughter,,3.2,81.0
tt13037448,788422,Flesh Contagium,Flesh Contagium,Horror,5.2,58.0
tt1308169,20432,The Forgotten Ones,The Forgotten Ones,,4.1,2479.0
tt13097330,754607,Poltergays,Poltergays,,5.4,28.0
tt13101714,974926,All Eyes,All Eyes,"Comedy, Horror, Thriller",5.4,1666.0
tt1310641,92322,George: A Zombie Intervention,George's Intervention,"Comedy, Horror",5.2,237.0
tt13123892,1057062,Dark Magic,Dark Magic,,,
tt13142282,858074,Ghost Me,Ghost Me,,,
tt1315885,140656,Mamá,Mamá,,6.9,3439.0
tt13160822,799308,WAM!: Wear A Mask!,WAM!: Wear A Mask!,,6.7,16.0
tt1316577,35730,Amateur Porn Star Killer 3: The Final Chapter,Amateur Porn Star Killer 3: The Final Chapter,,2.6,3040.0
tt13167944,755001,A Doll For Edgar,A Doll For Edgar,,5.0,27.0
tt13171358,1127707,X Knight Escape From Warp Hell,X KNIGHT Escape from Warp Hell,Horror,2.8,19.0
tt13172894,872721,MetaVision,MetaVision,,5.2,16.0
tt13186046,913017,Relax with Draco,Relax with Draco,,6.6,7.0
tt13186470,753937,8ight After,8ight After,Horror,2.9,252.0
tt13209830,1380752,Advent,Advent,Horror,4.5,82.0
tt13230012,774139,Box Fort,Box Fort,,5.8,163.0
tt1325022,1558960,Take-Out,Take-Out,,6.8,45.0
tt13265204,980478,Metamorphosis,Metamorphosis,"Drama, Horror, Sci-Fi",5.1,1505.0
tt13268354,583314,The Old Man in the Rocking Chair,The Old Man in the Rocking Chair,,5.4,6.0
tt1326938,430345,Disgruntled,Disgruntled,Horror,5.0,58.0
tt1327772,499977,Underfist: Halloween Bash,Underfist: Halloween Bash,"Action, Adventure, Animation",6.9,260.0
tt13279552,756457,Misconception,Misconception,,,
tt1329338,81325,For You and for Fire,For You and the Fire,"Drama, Horror, Thriller",6.5,245.0
tt13323456,756239,Noah,Noah,,7.3,15.0
tt13340076,894703,Rage-O-Rama,Rage-O-Rama,Action,,
tt13342216,820385,The Haunting of Alice Bowles,The Haunting of Alice Bowles,Horror,7.4,32.0
tt1334411,383338,Escape,Escape,,6.9,17.0
tt13356892,856006,She. Picked. Me.,She. Picked. Me.,,,
tt13357032,797648,Belbo the Clown,Belbo the Clown,,,
tt1335986,70112,Dahmer vs. Gacy,Dahmer vs. Gacy,"Comedy, Horror",2.8,631.0
tt13362758,892444,The Lake,The Lake,,6.2,59.0
tt1337090,90936,Aegri Somnia,Aegri Somnia,"Horror, Thriller",4.4,126.0
tt13372992,802226,Bingo Hell,Bingo Hell,"Comedy, Horror",4.3,3139.0
tt1337589,81521,Bloodlock,Bloodlock,Horror,2.3,183.0
tt1337721,708697,Unhinged,Unhinged,Horror,4.2,18.0
tt13392208,1091392,Driller Killer E2,Driller Killer E2,Horror,,
tt13392582,778780,Zombacter: Center City Contagion,Zombacter: Center City Contagion,Horror,3.2,100.0
tt13403046,787752,Fresh,Fresh,"Comedy, Horror, Romance",6.7,92398.0
tt13418970,931309,Death on Halloween Night,Death on Halloween Night,,,
tt13428006,682225,The Distraction,The Distraction,,6.2,17.0
tt1342848,596039,Dark Journey,Dark Journey,"Fantasy, Horror, Thriller",5.2,26.0
tt1342942,1063876,Silent Night Bloody Night,Silent Night Bloody Night,,4.7,40.0
tt1347258,267013,Curiosity,Curiosity,,5.2,305.0
tt1347514,445675,Branded,Branded,,3.1,58.0
tt1348305,57293,Deadly Little Christmas,Deadly Little Christmas,,2.5,188.0
tt13507260,614617,Miya,Miya,"Horror, Thriller",3.6,28.0
tt13511702,912129,Visitor,Visitor,,,
tt13515258,787761,Oracle,Oracle,Horror,4.8,1602.0
tt13515686,763320,SCARE PACKAGE,SCARE PACKAGE,,,
tt13523156,670635,Infernal Requiem,Infernal Requiem,,,
tt13524392,465684,Fragments of a Life,Fragments of a Life,,3.6,6.0
tt13529404,1201788,Streets of the Dead,Streets of the Dead,,9.3,12.0
tt13530640,1026421,Land of Celtic Ghosts,Land of Celtic Ghosts,Documentary,,
tt13557212,844697,Freak,Freak,Horror,5.3,88.0
tt13563580,823594,The Curse of Humpty Dumpty,The Curse of Humpty Dumpty,"Drama, Horror, Mystery",3.7,920.0
tt1357352,309378,Aspiring Psychopath,Aspiring Psychopath,,2.7,59.0
tt1358922,226767,Amy's Torch,Amy's Torch,,5.4,91.0
tt13592970,1147236,Loop Track,Loop Track,"Adventure, Horror, Sci-Fi",5.8,2337.0
tt13598996,1378771,Trapped Inn,Trapped Inn,"Sci-Fi, Thriller",2.7,1029.0
tt1362058,114606,Cockneys vs Zombies,Cockneys vs Zombies,"Action, Comedy, Horror",5.9,21200.0
tt1363141,61378,Sovia: Death Hospital,Sovia,"Horror, Thriller",3.5,176.0
tt1364484,151382,The House on Dame Street,The House on Dame Street,,5.0,62.0
tt13649516,417116,Blood Room,Blood Room,Horror,4.6,14.0
tt13658316,816811,Pare,Pare,,5.7,39.0
tt13658792,787052,Amityville Poltergeist,An Amityville Poltergeist,Horror,2.2,268.0
tt1366917,765695,The Moretti House,The Moretti House,"Horror, Mystery, Thriller",2.7,42.0
tt13680732,965455,Medium,Medium,Horror,4.8,26.0
tt13700976,809485,It Stares from the Dark,It Stares from the Dark,,7.6,15.0
tt1372689,53923,Stranded,Stranded,"Horror, Mystery",5.1,1061.0
tt1374840,393103,Blood Ties,Blood Ties,"Crime, Horror, Mystery",4.6,88.0
tt1374989,58431,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,"Action, Comedy, Fantasy",5.8,64371.0
tt13780448,1030552,Sentient,Sentient,,4.8,18.0
tt1379180,596061,Fish Bait: The Movie,Fish Bait: The Movie,Horror,2.7,75.0
tt13792910,417128,Mid-July Days 2: Past and Present,Past and Present,"Horror, Thriller",2.0,8.0
tt1380795,480304,Experiment 7,Experiment 7,"Action, Horror, Thriller",4.1,42.0
tt1380852,234151,Attack of the Vegan Zombies!,Attack of the Vegan Zombies!,"Comedy, Horror",3.3,142.0
tt1381402,288297,Baby Jane?,Baby Jane?,"Comedy, Horror",6.4,201.0
tt13824928,1415645,Paradox,Paradox,,,
tt13841850,780609,Men,Men,"Drama, Fantasy, Horror",6.0,78509.0
tt13842602,1202606,Call me Santa,Call me Santa,,,
tt13853146,813848,Murmur,Murmur,Horror,3.7,52.0
tt1385824,19950,Yavarum Nalam,13B: Fear Has a New Address,"Horror, Mystery, Thriller",7.4,10816.0
tt1385926,52383,Kuntilanak Kamar Mayat,The Ghost of Mortuary,"Horror, Mystery, Thriller",5.3,46.0
tt13869364,1413793,Cannabis Cannibals,Cannabis Cannibals,,,
tt13875870,859048,Miss Mary Mack,Miss Mary Mack,,8.7,7.0
tt13879878,816516,Poor Glenna,Poor Glenna,,6.3,60.0
tt13884958,896413,I'm Still Here,I'm Still Here,,6.7,20.0
tt13886392,834660,Neelavelicham,Neelavelicham,"Drama, Horror, Romance",5.8,1547.0
tt13886688,783674,Affliction,Affliction,"Horror, Thriller",5.9,170.0
tt13905838,930914,Girls Night In,Girls Night In,,,
tt13925790,308787,The Scare Game,The Scare Game,,6.1,17.0
tt13945148,805124,The space inside of us,The space inside of us,,,
tt13962396,1100244,Bedridden,Bedridden,Horror,5.0,29.0
tt13976876,956226,Courtney Gets Possessed,Courtney Gets Possessed,"Comedy, Horror",4.4,165.0
tt13993554,892069,Meat the Family,Meat the Family,,7.2,9.0
tt1402362,449015,Tortura,Tortura,"Horror, Thriller",4.2,80.0
tt14024862,853163,Dumb & Dahmer,Dumb & Dahmer,Horror,5.2,64.0
tt1403210,276877,Orgy of the Damned,Orgy of the Damned,"Fantasy, Horror, Thriller",3.2,241.0
tt14045614,901418,Croc!,Croc!,"Action, Horror",2.6,1744.0
tt14069012,578374,Pharmacist from Hell,Jigokudou Reikai Tsuushin,"Animation, Fantasy, Horror",5.8,12.0
tt14083124,1677945,Transfigure,Transfigure,,6.3,557.0
tt14087492,1088501,Oollalla Oollalla,Oollalla Oollalla,Horror,,
tt14096766,799105,In The Photos,In The Photos,,,
tt14098692,801244,The Wheel,The Wheel,,6.8,12.0
tt14101278,871472,On the Road Again,On the Road Again,,,
tt14115536,815609,Hare Hunt,Hare Hunt,,6.9,14.0
tt1414514,729455,The Ghost Train of Manggarai,The Ghost Train of Manggarai,Horror,3.9,34.0
tt1414859,590663,Stockholm Syndrome,Stockholm Syndrome,Horror,3.5,129.0
tt14151608,777517,Spooky College,Spooky College,"Comedy, Horror, Thriller",7.6,50.0
tt14153900,811847,Venom Coast,Venom Coast,"Horror, Thriller",3.2,252.0
tt1416343,345871,Texas Frightmare Massacre,Texas Frightmare Massacre,"Action, Comedy, Horror",6.4,53.0
tt14165770,804127,A Good Mother,A Good Mother,,,
tt14169296,708471,The Last Zombie,El último zombi,"Horror, Thriller",5.2,71.0
