tmdb_id,vote_average,vote_count,popularity
1414305,5.7,3,1.3555
28312,10.0,1,0.0911
31392,3.4,79,0.6544
884234,6.0,6,0.0261
213133,6.7,7,0.0256
88006,5.3,11,0.0789
106697,4.7,8,0.3699
230925,2.0,1,0.0214
42149,5.865,167,2.7327
21841,4.9,15,0.2937
1207622,6.0,1,0.1278
39020,5.1,25,0.4345
1526818,9.0,1,0.0071
1009705,7.0,1,0.1088
1255,6.971,3090,5.3137
1645208,8.0,1,0.0143
475413,2.0,1,0.0214
704618,1.0,1,0.0441
11974,6.754,1359,5.2012
774404,1.5,2,0.0256
716750,5.4,15,0.2741
29169,5.6,36,0.7579
929455,10.0,1,0.1767
820511,6.071,170,1.8524
931,6.918,1170,3.1608
496274,6.825,126,2.6327
327025,2.0,4,0.1173
82362,6.2,65,0.4731
587483,5.0,1,0.1237
291413,5.457,299,1.4975
193582,4.2,4,0.0971
1124736,6.5,2,0.0286
447724,8.0,1,0.1931
729454,4.2,22,1.1495
882596,7.0,2,0.0143
108890,3.6,11,0.5298
78452,4.0,10,0.8515
17038,4.9,254,1.9637
650093,1.9,7,0.0071
40151,6.25,20,0.2564
62932,6.9,58,0.4872
450999,4.7,3,1.2508
128762,3.442,26,0.5562
25018,5.4,630,2.2294
548533,3.6,5,0.1373
460962,3.8,53,0.6413
360412,2.7,14,0.1719
1213114,6.0,2,0.0633
720065,4.0,14,0.3034
408839,5.0,2,0.0823
478692,1.0,1,0.1484
572076,4.5,2,0.0627
22731,4.7,53,0.5926
52017,5.163,83,0.7409
1003990,5.5,2,0.1372
367108,5.8,15,0.1217
1267506,7.0,1,0.0853
330747,5.0,1,0.0398
178476,3.542,12,0.4657
450829,5.0,33,0.3341
1397120,8.0,1,0.1234
377406,6.0,2,0.1206
24929,6.365,676,3.0624
25974,3.2,33,0.7078
488511,7.0,2,0.1793
471925,6.9,19,0.1381
614205,6.1,173,2.3542
252429,2.7,3,0.0379
458033,4.0,5,0.0511
323564,8.0,1,0.0193
184804,5.9,21,0.7957
1375560,4.333,6,0.7562
661666,3.0,1,0.0143
987580,3.2,6,0.6373
735110,4.1,41,0.6748
1184188,5.0,1,0.0961
85199,4.4,36,0.4756
1340142,5.2,2,0.0261
422986,6.0,3,0.0579
513860,2.8,2,0.0902
538811,8.0,1,0.0143
599733,8.0,2,0.7349
1271212,6.0,1,0.077
1072515,8.5,2,0.1941
543163,4.0,3,0.3724
529683,3.9,7,0.4286
327651,6.0,24,0.1932
1097322,2.84,25,0.7238
1143190,5.919,302,3.2835
154207,7.0,34,0.4458
269012,1.0,0,0.2249
1002258,6.4,22,0.3065
1124135,4.8,6,0.1068
24421,4.8,107,0.7232
140694,5.8,9,0.0777
1064178,4.1,53,0.9783
313330,6.0,3,0.1594
422336,4.8,4,0.2962
180911,1.0,1,0.101
461213,4.0,2,0.0928
63725,4.4,27,0.7812
621103,3.6,24,0.329
36857,2.5,9,0.2734
860869,5.1,13,0.4831
204973,5.0,24,0.3743
364159,5.0,2,0.4947
527792,4.2,6,0.11
1365149,3.143,7,0.5509
571858,4.7,3,0.2252
272813,2.4,5,0.121
90944,4.8,24,0.4407
127739,2.8,7,0.2556
1037880,8.0,1,0.0071
25028,4.8,73,0.5354
31942,5.222,36,0.7509
1083188,6.1,16,0.4465
1402249,10.0,1,0.0168
1041554,3.0,1,0.0605
205223,4.0,6,0.2481
72745,4.0,13,0.7496
664594,6.4,31,0.5799
1126945,6.0,1,0.0429
915156,6.0,1,0.2582
458969,5.7,145,1.6749
28719,6.4,67,1.2291
322658,2.8,4,0.4766
619447,5.0,17,0.222
482249,5.2,4,0.0648
986402,4.0,4,0.7018
835679,5.0,7,0.1706
421972,5.0,2,0.2206
1312359,7.0,1,0.1346
12521,5.572,459,1.5603
664045,6.0,1,0.0637
197389,3.8,6,0.1723
294584,3.4,5,0.0434
1122588,6.0,5,0.0965
912953,3.0,2,0.0486
1548209,10.0,2,0.115
699221,10.0,1,0.0557
50699,3.6,35,0.6205
517559,10.0,1,0.5364
405923,3.9,8,0.2598
1181250,8.0,1,0.1254
191429,5.3,10,0.3685
43149,5.387,137,1.3026
453638,5.0,2,0.1236
151782,3.0,1,0.0377
728795,5.3,6,0.0957
93082,5.6,9,0.1798
1139014,10.0,1,0.0214
1061524,10.0,1,0.0071
549646,3.9,12,0.0665
241310,5.8,9,0.453
282554,8.2,4,0.3071
1419539,6.0,1,0.0492
860537,5.5,1,0.0239
251136,4.0,3,0.2155
547024,6.464,14,1.4785
563965,3.7,3,0.1469
297588,2.5,6,0.1497
999722,5.656,336,0.9623
262690,3.7,7,0.114
1161859,10.0,1,0.2563
365083,3.2,32,0.4463
474199,5.0,3,0.0214
457402,4.1,17,0.6936
815088,3.2,4,0.0894
55082,3.2,6,0.0582
1139296,5.7,22,0.4365
66706,5.7,24,0.5537
79550,4.8,86,0.8044
142542,2.0,1,0.5182
107374,7.2,13,1.1378
404947,2.9,45,0.6387
1275930,1.0,1,0.08
149806,1.7,6,0.3111
250505,6.0,3,0.3318
97186,4.2,7,0.2487
28757,4.2,15,0.3585
893255,7.0,1,0.0311
166772,5.5,2,0.0327
1186014,6.8,2,0.2633
393154,2.5,11,0.2241
273544,4.885,13,0.2237
78508,3.9,8,0.0987
693905,3.3,5,0.3508
297580,5.2,46,0.7529
1323909,5.0,3,1.7856
505916,6.5,51,1.5292
125686,5.3,16,0.4949
532973,5.7,211,1.4977
28673,5.292,77,0.6764
327815,6.0,5,0.4028
376419,4.5,1,0.2627
400990,6.0,15,1.6466
1090218,1.0,3,0.0143
77642,4.8,18,0.4379
1137142,6.3,50,2.2287
412574,5.5,4,0.2148
1270883,8.0,1,0.0561
19544,4.9,7,0.3728
682641,6.0,3,0.2545
533007,8.3,3,0.0749
784800,8.5,2,0.1729
1569012,7.5,2,0.0261
543914,5.6,7,0.2386
223974,6.0,4,0.2212
825751,7.0,2,0.136
1153197,6.0,2,0.0071
36879,5.1,87,1.3061
686603,6.0,2,0.1107
675308,6.3,26,1.7102
264384,5.7,7,0.1908
1202770,5.5,2,0.0679
279673,4.0,1,0.0256
251371,3.7,3,0.0743
442497,4.6,4,0.107
434217,6.0,1,0.1242
661917,2.0,1,0.0362
68503,4.6,20,0.1408
12237,4.6,205,2.446
706581,4.0,1,0.0492
2082,6.226,2530,5.0535
844380,5.5,26,0.9862
1531940,5.4,7,0.1425
445845,4.2,5,0.1072
914520,10.0,1,0.0256
899215,1.4,5,0.1189
889977,1.6,5,0.053
1069211,3.0,1,0.1232
92562,6.1,39,0.3176
235339,5.5,2,0.0535
674670,3.0,4,0.07
681457,3.9,10,0.325
1077817,7.0,1,0.0453
1320330,5.723,74,0.9231
1037125,4.3,3,0.0605
214024,7.0,1,0.1177
40371,4.2,8,1.142
1200801,6.1,77,2.5677
441741,2.0,3,0.1074
157164,2.4,10,0.1084
728796,5.8,82,0.4788
1063863,6.2,5,0.9126
728867,5.0,1,0.082
634038,4.8,4,0.1059
8875,5.4,176,1.3898
1197565,5.0,1,0.1317
447956,5.7,3,0.0286
241927,4.0,156,0.5554
1339173,5.944,27,1.5042
146170,3.5,1,0.2407
353592,8.5,1,1.1726
602708,5.5,2,0.0434
364482,5.6,7,0.1345
529641,6.0,1,0.0808
70337,5.8,16,1.1341
41547,4.4,14,0.461
641709,7.0,1,0.2878
666508,3.7,3,0.9191
433698,3.0,2,0.1618
164708,3.6,7,0.3507
44247,5.916,251,2.6557
1384751,6.3,4,0.1477
606452,9.8,2,0.0552
854047,4.5,1,0.1259
754195,5.0,5,0.0286
27684,1.7,3,0.1253
1245682,9.0,1,0.0143
45756,4.9,157,0.8763
1112558,10.0,1,0.0575
892426,10.0,1,0.0071
129403,6.2,52,0.1744
117905,3.5,21,0.6743
981347,5.444,54,0.5815
716831,5.786,35,0.8743
535849,6.6,36,1.4033
298723,5.5,84,0.4393
48312,4.1,16,0.6873
1219297,3.7,3,0.0143
671368,4.7,7,0.0478
417329,1.0,1,0.0143
1638328,7.0,1,0.0486
1153516,10.0,2,0.1658
625979,3.5,4,0.0611
1069110,2.0,1,0.0362
200443,1.0,2,0.6427
436945,2.0,3,0.0721
288250,4.6,13,0.1974
437600,4.2,14,0.2818
861057,5.116,69,0.8199
727353,5.0,2,0.0913
1634428,8.0,1,0.2426
839557,6.0,1,0.0214
543362,8.2,6,0.5281
23327,4.5,11,0.1202
118520,5.2,5,0.3504
139611,3.3,3,0.3116
1017328,4.5,2,0.0071
387501,4.7,73,1.5655
16611,5.4,111,0.7292
576004,5.971,413,3.923
1209505,2.3,3,0.0923
328936,5.0,1,0.1604
1042657,5.9,69,2.9474
1569062,8.0,1,0.0445
1285132,10.0,1,0.1148
84999,4.6,49,0.2559
501753,7.0,3,0.8832
288154,4.507,76,0.6073
616185,6.0,1,0.5067
557320,8.0,1,0.3925
181160,4.2,4,0.3159
331212,2.4,7,0.3209
1057818,5.0,3,0.2752
194625,2.5,2,0.3312
15206,4.539,458,0.6037
200872,3.778,9,0.1048
1520919,6.0,1,0.0338
729722,7.0,1,0.3151
68341,6.925,394,3.6297
124423,5.4,30,1.0974
527976,3.0,1,0.0974
745050,10.0,1,0.2359
1198984,6.006,171,14.5676
975484,10.0,1,0.0071
298865,4.5,79,0.838
132295,5.4,6,0.3381
1008026,6.2,5,0.1695
116337,3.9,8,0.3285
184590,3.5,4,0.0386
1317617,6.5,2,0.2261
649077,4.6,11,0.2725
21784,5.9,122,1.6202
483710,7.5,8,0.0673
113909,1.6,7,0.0511
1448139,10.0,1,0.0822
361432,2.5,9,0.0976
155372,6.7,6,0.2512
345875,4.8,131,0.7666
1263180,6.0,1,0.1151
24674,5.891,147,2.3264
1555298,2.0,1,0.8171
294308,4.9,199,1.4927
642646,6.3,5,0.1125
28763,5.9,112,1.8959
1247679,10.0,1,0.1458
1314304,3.0,1,0.1429
423068,5.0,2,0.0592
95206,2.8,11,0.6359
1262983,6.509,233,3.6918
756452,6.2,5,0.07
185692,4.6,19,1.2201
