tconst,title,average_rating,num_votes
tt0099052,Arachnophobia,6.5,80588
tt0099059,The Arrival,4.6,446
tt0099154,Blood Call,2.9,18
tt0099188,Buried Alive,6.5,5777
tt0099235,The Cellar,4.6,1159
tt0099370,The Day of Reckoning,5.1,67
tt0099657,Ghoul School,3.3,438
tt0099710,The Guardian,5.4,7137
tt0100811,Transylvania Twist,5.4,796
tt0100846,Underground Terror,4.1,90
tt0101001,A Haunted Romance,5.0,9
tt0101015,The Spooky Family,6.7,59
tt0101550,Cast a Deadly Spell,6.3,5804
tt0101672,Dead On: Relentless II,5.4,487
tt0102007,The Haunted,6.2,2562
tt0102295,Ghost Story of Kam Pin Mui,5.2,26
tt0102357,Lunatics: A Love Story,5.9,892
tt0102709,Primal Rage,5.4,1944
tt0102961,Son of Darkness: To Die For II,3.8,399
tt0102994,Strays,4.7,1100
tt0103082,Thrill Kill Video Club,5.7,20
tt0103332,The Blue Jean Monster,6.2,275
tt0103644,Alien³,6.4,351948
tt0103789,Belle da morire,4.3,43
tt0104155,Dust Devil,6.2,6513
tt0104409,Hellraiser III: Hell on Earth,5.5,38007
tt0104643,Horror Story,6.3,139
tt0104763,Love & Murder,4.0,67
tt0105724,The Vampyr: A Soap Opera,7.7,56
tt0106576,City of the Vampires,3.7,86
tt0107034,The Good Son,6.4,49160
tt0107038,Gorotica,4.7,221
tt0107568,Midnight 2,4.0,108
tt0107941,Relentless 3,5.1,500
tt0108348,To Sleep with a Vampire,5.1,536
tt0109232,Beg!,5.2,111
tt0109567,The Dead Man 2: Return of the Dead Man,5.3,74
tt0109858,Funny Man,4.4,1550
tt0110295,Lady in Waiting,4.2,452
tt0110328,Bloody Beast,5.3,67
tt0111361,Tammy and the T-Rex,5.4,6696
tt0111574,The Upstairs Neighbour,7.5,337
tt0111708,Wicked Games,4.5,225
tt0111837,The Chinese Ghostbuster,5.6,69
tt0112511,Biohazard: The Alien Force,3.4,231
tt0112993,Evolver,5.5,1565
tt0113105,Monster Mash: The Movie,4.1,296
tt0113272,The Haunting of Lisa,5.3,357
tt0113376,Ice Cream Man,4.8,5617
tt0113980,Night Head,6.0,45
tt0114099,The Passion of Darkly Noon,5.8,4588
tt0114196,Proteus,4.1,1359
tt0114367,Screamers,6.3,31732
tt0114554,Stormswept,3.7,536
tt0114957,Witchboard III: The Possession,4.2,1020
tt0114987,Writer's Block,5.7,42
tt0115502,The Alien Agenda: Out of the Darkness,4.5,59
tt0115775,Bugged,4.2,328
tt0116003,Daddy's Girl,4.8,832
tt0116365,The Frighteners,7.1,102282
tt0117464,Horrible High Heels,4.5,228
tt0117661,Skeletons,5.3,605
tt0117808,Szamanka,5.8,1893
tt0118971,The Devil's Advocate,7.5,443600
tt0119889,The Phantom of the Opera,4.3,6195
tt0120082,Scream 2,6.3,236138
tt0120622,Brácula: Condemor II,3.6,555
tt0121313,Ladies Killer,4.0,31
tt0121540,A Romantic Ghost Story,4.3,26
tt0122093,Grudge of the Moon Lady,6.1,22
tt0122143,The Last Broadcast,5.2,6823
tt0122191,Night Evil Soul,5.2,19
tt0123371,Aberration,4.7,1134
tt0123790,Deafula,4.8,141
tt0125028,La cage aux zombies,4.7,41
tt0126704,The Trick,7.5,102
tt0126771,Halloween with the New Addams Family,5.5,1074
tt0126850,Cyberstalker,3.7,127
tt0126858,Deadly Obsession,5.5,95
tt0126864,The Devil's Garden,5.3,42
tt0126948,Honeymoon Horror,3.8,427
tt0127226,Red Spirit Lake,5.5,236
tt0127282,Shrieker,3.9,793
tt0127428,Angkor,5.3,79
tt0127591,Howard - Verinen iltapäivä,5.8,67
tt0128473,Shadow Zone: My Teacher Ate My Homework,5.4,343
tt0128690,Tainted,4.1,141
tt0129871,Desperation,5.3,12371
tt0130087,The She-Wolf,6.3,175
tt0130177,The Parasite,3.7,89
tt0130487,Backwoods,4.3,458
tt0130650,Eko Eko Azarak: Misa the Dark Angel,4.9,282
tt0130991,Sangdil,6.6,143
tt0132354,The Naked Witch,4.7,68
tt0133375,¡Aquí espaantan!,4.9,50
tt0134084,Scream 3,5.7,184896
tt0134797,Wrestling Women vs. the Killer Robot,5.0,88
tt0135033,Poison for the Fairies,7.2,3277
tt0136133,He And She,5.1,94
tt0137981,Night Ripper,4.3,241
tt0138661,Curses of the Witch,6.4,187
tt0140067,The Gardener,3.7,354
tt0140324,Legend of Horror,4.2,91
tt0140587,Surrender Dorothy,5.8,435
tt0141937,The Uninvited,4.8,590
tt0142320,Good Day for the Bad Guys,7.3,66
tt0143010,Orgies of Edo,6.1,655
tt0143338,Killer Crocodile,4.7,1894
tt0144191,A Face in the Fog,4.6,254
tt0144223,"Gore-met, Zombie Chef from Hell",2.8,363
tt0144233,Hell Mountain,3.5,339
tt0144637,Tequila Body Shots,3.5,421
tt0147374,The Sinful Nuns of Saint Valentine,4.7,1024
tt0147467,Sex Madness,2.9,1070
tt0147653,Vampire's Seduction,3.3,184
tt0150449,Electric Flesh,6.4,44
tt0150633,Frankenstein: A Cinematic Scrapbook,6.4,34
tt0151239,Kolobos,5.1,2870
tt0155704,C.I.A. Secret Story,5.2,146
tt0155747,The Hook of Woodland Heights,4.8,104
tt0156072,Sreekrishna Parunthu,6.7,176
tt0157019,Wedding Night,5.1,23
tt0157295,Afmagt,5.0,41
tt0159818,The Vampires of Coyoacan,5.1,69
tt0160184,D-Tox,5.3,31044
tt0161113,Blood Reign: Curse of the Yoma,6.3,541
tt0161942,Revelation,4.8,1169
tt0165244,Hong-Do Mirror,4.2,126
tt0165433,Primal Scream,3.6,240
tt0165489,Hellmaster,3.9,934
tt0167106,Dead Air,7.2,34
tt0167438,Talisman,3.8,476
tt0168218,Ten Days,5.4,24
tt0168249,Way Upstream,5.4,217
tt0168708,Dr. Benderfax,6.8,31
tt0169912,Flora,6.5,1498
tt0177226,Sisters of Death,4.3,1360
tt0178774,The Headless Woman,6.8,34
tt0180641,PROBE: The Devil of Winterborne,7.1,100
tt0180687,La familia unida esperando la llegada de Hallewyn,6.8,19
tt0180999,Shock Cinema: Volume Two,6.2,58
tt0181000,Shock Cinema: Volume Three,4.4,53
tt0181120,"Hi, Inspector 2 - Vampires Are Among Us",4.9,518
tt0181973,"Baron Olavo, The Horrible",6.2,86
tt0183091,Frank Stein,6.0,95
tt0183393,The Last Step Down,4.5,78
tt0185219,Caress of the Vampire,2.2,138
tt0185220,Caress of the Vampire 2: Teenage Ghoul Girl A Go-Go,3.6,94
tt0185334,PROBE: Ghosts of Winterborne,6.1,69
tt0186438,Paranóia,6.1,52
tt0188168,Who's Afraid of Werewolves?,5.5,43
tt0188647,The Graveyard Story,4.0,186
tt0190479,La Blue Girl: Revenge of the Shikima Realm,4.3,203
tt0191097,Dracula of Exarcheia,6.3,1078
tt0192383,The Red Night,4.6,15
tt0192649,Survival Earth,3.0,61
tt0193438,Pure Blood,6.8,354
tt0193578,Troublesome Night 5,5.1,201
tt0193770,Biikenbrennen - Der Fluch des Meeres,6.4,140
tt0193879,Don't Panic,4.8,1722
tt0194543,Primal Force,4.6,938
tt0194645,The Ancestress,6.0,65
tt0195165,Possessed,5.3,1841
tt0196000,Plutonium Baby,2.8,303
tt0196949,The Shivers,2.8,121
tt0197651,A Light in the Window,6.2,76
tt0200641,Flexing with Monty,4.0,333
tt0200714,Hollywood Mortuary,5.6,103
tt0200872,Mortice,6.8,11
tt0201801,Night of the Cat,5.3,12
tt0202944,The Ghost-Cat Cursed Wall,5.3,23
tt0202952,Ghost of Saga Mansion,6.3,30
tt0203606,Ghost-Cat of Yonaki Swamp,6.2,12
tt0203663,Madame O,6.2,128
tt0203721,Love Foolery Case for a Severed Head,4.4,21
tt0204030,Violence and Flesh,4.4,223
tt0204561,Possession,5.8,22
tt0205735,Criminal Lovers,6.4,4782
tt0208306,The Mummies of Guanajuato,6.0,365
tt0208429,Santo in the Vengeance of the Mummy,5.2,240
tt0210108,Man with the Transplanted Brain,6.4,66
tt0212302,The Last Slumber Party,2.7,1078
tt0212400,Once the Killing Starts,7.0,263
tt0213031,Kill Kill Overkill,4.2,54
tt0213095,Mr. Murakami's Garden,7.6,18
tt0213248,Shower of Blood,2.9,295
tt0213802,Legion of the Dead,3.3,1989
tt0213989,A Pattern of Roses,6.0,142
tt0214714,Get That Girl,4.7,144
tt0214796,El Asesino del Zodiaco,7.4,46
tt0216651,Vampire Hunter D: Bloodlust,7.7,41277
tt0217395,Does Dracula Really Suck?,4.0,8
tt0217904,Zombie! vs. Mardi Gras,4.2,128
tt0218135,Davey Jones' Locker,5.2,237
tt0218546,Red,5.7,38
tt0220967,Alias,5.9,101
tt0221633,They Nest,5.2,2579
tt0221902,A Day of Judgment,4.1,399
tt0222249,Ladies in Torture I,4.8,18
tt0222763,The Inn Where No Man Rests,6.2,425
tt0222812,Beyond Re-Animator,5.7,13978
tt0223755,The Monster,6.3,1457
tt0224755,Pickman's Model,6.1,93
tt0225504,The Devil and the Statue,5.8,810
tt0227113,The Necro Files 2,3.8,256
tt0227170,Rape!,5.8,254
tt0228696,The Spider and the Butterfly,6.1,529
tt0229059,XX: Beautiful Prey,5.3,136
tt0229203,"Agi, the Fury of Evil",5.9,43
tt0229349,The Donor,4.9,10
tt0229499,Don't Look Up,6.2,757
tt0229503,Ghost of the Pearl Divers,4.9,25
tt0229820,Village of Doom,6.7,303
tt0230429,The Slit-Mouthed Woman,4.7,28
tt0230433,The Spider-Man,7.1,23
tt0230825,Submit to Me,5.9,377
tt0231138,Ancient Evil: Scream of the Mummy,2.2,1473
tt0234151,Lukas' Child,3.3,201
tt0237296,Hanging Heart,4.4,261
tt0238302,Innocent Prey,4.9,264
tt0240793,Dark Prince: The True Story of Dracula,6.0,2866
tt0241251,Poison,3.9,422
tt0241382,The Doctor's Experiment,3.8,27
tt0242527,The Hole,6.2,49954
tt0243036,Years of the Beast,5.4,308
tt0244100,Night of Terror,3.6,123
tt0246000,Killer Instinct,4.1,416
tt0248518,Tales of the Unknown,5.4,63
tt0251806,Long Time Dead,4.8,6339
tt0253368,Oddo,5.1,42
tt0253700,Sideshow,4.9,804
tt0257755,Dead 7,3.3,137
tt0259958,Dahshat,5.7,94
tt0261035,Mahal,4.7,25
tt0261753,It Came!,4.0,35
tt0263475,The Invasion of the Dead,5.1,129
tt0263488,Jeepers Creepers,6.2,157347
tt0263785,"Bernisa, jača od smrti",6.8,14
tt0264393,Bar-B-Que Movie,6.9,148
tt0264739,Judge,5.3,223
tt0265486,The Painting of Horror,3.2,18
tt0265932,Children's Play,5.3,1025
tt0266964,If I Were 1000 Years Old,5.2,18
tt0267559,Inn At the Flying Dragon,6.2,20
tt0267924,Shodh,6.7,19
tt0268740,Vayanadan Thampan,6.6,43
tt0269337,Horror Heaven,4.9,231
tt0269603,The Girl in the Fur Coat,4.9,82
tt0269624,Nexxt,4.8,288
tt0271249,Vampires of Sorority Row Part II,5.0,19
tt0272730,The Mesmerist,4.9,269
tt0272851,Vampire Resurrection,4.4,245
tt0273828,The Mummies of San Angel,4.3,48
tt0273907,Octopus 2: River of Fear,3.1,1156
tt0274983,Tracking,4.7,142
tt0275067,Wendigo,5.1,5202
tt0275194,Angel of Light,4.8,75
tt0275230,Blood: The Last Vampire,6.6,14148
tt0275293,The Death Train,5.9,133
tt0276373,The Old Man and the Goblins,7.5,39
tt0279483,Troublesome Night 8,4.2,49
tt0280579,Crossclub – The Legend of the Living Dead,3.6,98
tt0280802,Jungle Virgin Force,4.1,141
tt0283877,American Psycho II: All American Girl,3.7,19609
tt0284066,Double Vision,6.4,3424
tt0284929,Ted Bundy,5.8,8623
