id_tertiaire,url_rotten,rt_tomatometer,rt_audience_score,rt_critics_consensus
becky_2020,https://www.rottentomatoes.com/m/becky_2020,72.0,52.0,"Becky isn't quite able to sustain enough intensity to fully take advantage of its premise, though it serves up entertainingly nasty thrills for genre fans."
plasterhead_2006,https://www.rottentomatoes.com/m/plasterhead_2006,,15.0,
the_plague_2025,https://www.rottentomatoes.com/m/the_plague_2025,97.0,66.0,"Steeped in disquieting mood without ever treading water, The Plague takes common adolescent anxieties and elevates them into an unforgettable chiller."
dont_click_2020,https://www.rottentomatoes.com/m/dont_click_2020,20.0,30.0,
red_nights_2010,https://www.rottentomatoes.com/m/red_nights_2011,,20.0,
art_of_darkness_2012,https://www.rottentomatoes.com/m/art_of_darkness_2012,,17.0,
wax_2014,https://www.rottentomatoes.com/m/wax_2014,,0.0,
nightmares_1980,https://www.rottentomatoes.com/m/nightmares-1980,,14.0,
nightworld_2017,https://www.rottentomatoes.com/m/nightworld_2017,,14.0,
the_presence_2010,https://www.rottentomatoes.com/m/the_presence_2010,,21.0,
the_crossbreed_2018,https://www.rottentomatoes.com/m/the_crossbreed_2018,,0.0,
the_ritual_2009,https://www.rottentomatoes.com/m/the_ritual_2009,,20.0,
roadkill_2024,https://www.rottentomatoes.com/m/roadkill_2024,,55.0,
extinction_2015,https://www.rottentomatoes.com/m/extinction_2015,18.0,35.0,"Extinction has a few intriguing ideas, but they -- and some game performances from its talented stars -- are lost in the movie's muddled plot and frustrating pacing."
carnage_1984,https://www.rottentomatoes.com/m/carnage_1984,25.0,22.0,
containment_2015,https://www.rottentomatoes.com/m/containment_2015,92.0,39.0,
the_tank_2023,https://www.rottentomatoes.com/m/the_tank_2023,31.0,23.0,
unhinged_2020,https://www.rottentomatoes.com/m/unhinged_2020,49.0,77.0,"Russell Crowe makes for a compulsively watchable villain, but Unhinged lacks enough intelligence or depth to get sufficient mileage out of its pulpy premise."
lord_of_misrule_2023,https://www.rottentomatoes.com/m/lord_of_misrule_2023,60.0,66.0,
roadkill_2011,https://www.rottentomatoes.com/m/roadkill_2011,,7.0,
resolution_2012,https://www.rottentomatoes.com/m/resolution_2013,81.0,65.0,
porn_shoot_massacre_2009,https://www.rottentomatoes.com/m/porn_shoot_massacre_2009,,44.0,
black_moon_1934,https://www.rottentomatoes.com/m/black-moon-1934,,30.0,
host_2020,https://www.rottentomatoes.com/m/host_2020,98.0,70.0,"Lean, suspenseful, and scary, Host uses its timely premise to deliver a nastily effective treat for horror enthusiasts."
night_shift_2024,https://www.rottentomatoes.com/m/night_shift_2024,78.0,82.0,
the_beast_2024,https://www.rottentomatoes.com/m/the_beast_2023,86.0,56.0,"Unwieldy but rewarding, The Beast uses its sci-fi conceit to explore intriguing themes in largely satisfying fashion."
the_cottage_2012,https://www.rottentomatoes.com/m/the_cottage_2012,,16.0,
demons_2017,https://www.rottentomatoes.com/m/demons_2017,33.0,61.0,
the_house_of_the_devil_2009,https://www.rottentomatoes.com/m/the_house_of_the_devil_2009,86.0,63.0,"Though its underlying themes are familiar, House of the Devil effectively sheds the loud and gory cliches of contemporary horror to deliver a tense, slowly building throwback to the fright flicks of decades past."
the_nest_2021,https://www.rottentomatoes.com/m/the_nest_2021,70.0,69.0,
dangerous_worry_dolls_2008,https://www.rottentomatoes.com/m/dangerous_worry_dolls_2008,,24.0,
stripped_2012,https://www.rottentomatoes.com/m/stripped_2013,,0.0,
lockout_2006,https://www.rottentomatoes.com/m/lockout_2006,,25.0,
pearl_2022,https://www.rottentomatoes.com/m/pearl_2022,93.0,83.0,Pearl finds Ti West squeezing fresh gore out of the world he created with X -- and once again benefiting from a brilliant Mia Goth performance.
cold_turkey_2013,https://www.rottentomatoes.com/m/cold_turkey_2013,20.0,33.0,
the_owners_2020,https://www.rottentomatoes.com/m/the_owners_2020,60.0,30.0,"The Owners will prove excessively mean-spirited and over the top for some, but should be just pulpy enough for genre enthusiasts up for some home invasion thrills."
below_zero_2012,https://www.rottentomatoes.com/m/below_zero_2011,,67.0,
buried_alive_1990,https://www.rottentomatoes.com/m/buried_alive_1989,,26.0,
maneater_2022,https://www.rottentomatoes.com/m/maneater_2022,17.0,16.0,
death_note_2017,https://www.rottentomatoes.com/m/death_note_2017,36.0,23.0,"Death Note benefits from director Adam Wingard's distinctive eye and a talented cast, but they aren't enough to overcome a fatally overcrowded canvas."
gingerdead_man_3_saturday_night_cleaver_2011,https://www.rottentomatoes.com/m/gingerdead_man_3_saturday_night_cleaver_2011,,17.0,
the_dark_2018,https://www.rottentomatoes.com/m/the_dark_2018,89.0,57.0,
dawning_2009,https://www.rottentomatoes.com/m/dawning_2009,,17.0,
til_death_do_us_part_2023,https://www.rottentomatoes.com/m/til_death_do_us_part_2023,32.0,50.0,
thriller_2019,https://www.rottentomatoes.com/m/thriller_2018,40.0,14.0,"Thriller has an appealing cast and a fresh perspective on its genre, but those elements aren't enough to outweigh a bland and predictable story."
house_of_darkness_2022,https://www.rottentomatoes.com/m/house_of_darkness_2022,60.0,21.0,"House of Darkness finds writer-director Neil LaBute just as acerbic as ever, although he's made more compelling statements on sexual mores."
good_boy_2023,https://www.rottentomatoes.com/m/good_boy_2022,94.0,45.0,
fallen_angels_2003,https://www.rottentomatoes.com/m/fallen_angels_2002,,25.0,
consumed_2024,https://www.rottentomatoes.com/m/consumed_2024,27.0,17.0,
nailed_2006,https://www.rottentomatoes.com/m/nailed_2007,,62.0,
godzilla_vs_destoroyah_1995,https://www.rottentomatoes.com/m/godzilla_vs_destoroyah_1995,100.0,93.0,
nightmare_2022,https://www.rottentomatoes.com/m/nightmare_2022,,43.0,
