tconst,title,tmdb_id,primaryTitle,genres,averageRating,numVotes
tt14541160,Devour,1406253,DEVOUR,Horror,7.0,41.0
tt1455052,Ice Cold Fear,1215858,Ice Cold Fear,Horror,,
tt14551112,Pink Diamond,1040128,,,,
tt14555212,Eat the Rich,1112234,Eat the Rich,Horror,5.6,64.0
tt14569844,"A Botija, O Beato e a Besta-Fera",892682,,,8.4,10.0
tt1457759,The Expedition,297173,,,2.9,373.0
tt14598536,The Bunker,831396,The Bunker,"Horror,Sci-Fi",4.2,514.0
tt14604704,The Curse of Pizza Mike,876247,,,,
tt14609448,Accusation Of The Wall,954658,Accusation of the Wall,Horror,,
tt14609564,Dream Car,422427,,,5.9,10.0
tt1461395,She Wolf Rising,118626,She Wolf Rising,Horror,3.1,267.0
tt14617928,File Not Found,1100124,,,,
tt14623762,Death Valley,892113,Death Valley,"Action,Horror,Sci-Fi",4.1,2142.0
tt14628128,Cupcake,1250806,,,6.5,25.0
tt1464512,Agujero hacia ningún lugar,1507861,,,,
tt14661252,Revealer,884882,Revealer,Horror,4.4,1169.0
tt1467138,Wet Heat,603012,,,5.6,77.0
tt1468715,Earth Day,73460,Earth Day,"Comedy,Horror",4.8,126.0
tt1468829,Cherry Tree Lane,47259,Cherry Tree Lane,"Horror,Thriller",4.9,3018.0
tt1468832,Cookie,949850,,,6.2,15.0
tt14702776,Hedge-Hands,1409388,,,,
tt14720664,Genevieve,1127279,Genevieve,"Comedy,Horror,Thriller",5.7,10.0
tt1472192,The Mole Man of Belmont Avenue,158337,The Moleman of Belmont Avenue,"Comedy,Horror",5.2,364.0
tt14752818,Senritsu Kaiki File Kowasugi! The Most Terrifying Movie in History,854932,,,6.3,269.0
tt1475531,Cannibal,86569,Cannibal,"Horror,Romance,Thriller",3.6,306.0
tt14771302,Free Range,1139617,Free Range,Horror,4.4,35.0
tt1478351,Zombie Punch,1321946,Zombie Punch,"Action,Horror,Thriller",6.0,51.0
tt14788018,Cassex,837997,Cassex,"Comedy,Fantasy,Horror",4.2,263.0
tt14797866,He Comes at Night,899603,,,,
tt14799666,Glue Trap,986359,Glue Trap,"Comedy,Horror",4.8,86.0
tt1483001,Elfmädchen,1280932,,,,
tt1483346,Axing the Coffin: Death is Eternal,401710,Axing of the Coffin,Drama,4.3,16.0
tt14837454,Karura Mau OVA,835951,,,5.0,11.0
tt14837478,Three Short Animations on the Theme of 'Socially-Distanced' Zombie Movies,931311,,,,
tt1483810,The Mill,1668439,,,6.0,21.0
tt14843560,#nofilter,872512,,,6.6,37.0
tt14884014,The Red Sultan,1417634,,,,
tt14912816,Banshee,973551,,,,
tt14922882,The Moor,1155095,The Moor,"Drama,Horror,Mystery",5.2,1186.0
tt1493816,Demon's Twilight,333903,Demon's Twilight,Horror,3.6,43.0
tt1493858,The Harsh Light of Day,138901,The Harsh Light of Day,Horror,4.1,250.0
tt14947798,A Knife in the Dark,1058716,,,,
tt14953028,The Vampire and the Vigilante,1356802,The Vampire and the Vigilante,"Action,Horror",3.5,62.0
tt14962046,Black Secret,1177275,Black Secret,"Horror,Mystery,Thriller",,
tt14966324,Reflect,898228,Reflect,"Comedy,Sci-Fi,Thriller",6.2,82.0
tt14993404,Dog Eat Dog,848197,,,,
tt15013424,A Devil Jumping Around,886498,A Devil Jumping Around,Documentary,,
tt1504467,Puppet Master IX: Axis of Evil,27651,,,4.1,2064.0
tt15076270,The Pey,968033,,,8.1,13.0
tt15079344,Death in a Box,966853,,,8.0,9.0
tt15079788,Rotten Flowers,1052820,Rotten Flowers,"Drama,Horror,Thriller",4.5,84.0
tt15083118,Facies,956491,,,6.2,130.0
tt15091318,Pictures of You,895267,,,,
tt1510986,Strip Club Slasher,530155,Strip Club Slasher,"Comedy,Crime,Horror",2.3,149.0
tt15134426,They're Never Coming Back,958410,,,,
tt15135074,Cursed Violent People,855444,Cursed Violent People,"Comedy,Crime",5.8,11.0
tt1514043,Eldorado,93030,,,2.2,586.0
tt1514842,The Resurrection of Officer Rollins,341084,,,8.7,13.0
tt15151352,Demon Juice,930860,,,5.3,25.0
tt15161498,Meltdown: A Nuclear Family's Ascension into Madness,1114313,Meltdown: A Nuclear Family's Ascension into Madness,"Horror,Thriller",7.6,18.0
tt1517225,The Enemy,110608,The Enemy,"Drama,Horror,Mystery",7.3,2995.0
tt15173772,"Lo que viví, Lo que vivo, Lo que viviré",859417,"What I lived, What I live, What I will live",Horror,,
tt1520836,7 Deadly Sins: Inside The Ecomm Cult,729877,7 Deadly Sins: Inside the Ecomm Cult,"Biography,Comedy,Crime",6.2,33.0
tt15209814,The Wendigo,1025647,The Wendigo,"Horror,Mystery,Thriller",3.2,387.0
tt1521684,Backroad,167401,Backroad,"Drama,Horror,Thriller",5.5,72.0
tt1522157,Maskhead,88604,Maskhead,Horror,3.3,405.0
tt1522211,Not Interested,447455,,,8.3,21.0
tt1522835,Sherlock Holmes,33555,,,3.5,2274.0
tt1524575,The Vatican Tapes,157544,The Vatican Tapes,"Horror,Thriller",4.7,19984.0
tt1525465,Unit 30,672593,,,7.8,35.0
tt1527073,Carne crecida,1509474,,,,
tt1527817,Echoes,229790,,,,
tt15290124,They Called Me David,865528,,,5.8,5.0
tt15293064,The Notorious Finster,1127375,The Notorious Finster,"Crime,Horror,Thriller",3.9,200.0
tt15302290,Annabelle Sethupathi,864403,Annabelle Sethupathi,"Comedy,Fantasy,Horror",3.7,2668.0
tt15314938,The Exploration of Sinn,788297,,,4.7,7.0
tt15327382,Flesh,870619,FLESH,Horror,2.8,77.0
tt15331462,Planet Dune,881460,Planet Dune,"Adventure,Horror,Sci-Fi",2.5,1313.0
tt15340206,Resurrected,584004,Resurrected,"Horror,Sci-Fi",5.3,1940.0
tt1535566,The Bleeding House,45347,The Bleeding House,"Drama,Horror,Mystery",5.1,1850.0
tt15357548,Billy and Mandy in: Trepanation of the Skull and You,395613,,,6.9,45.0
tt1536516,Wake the Witch,58643,,,2.5,397.0
tt1537874,Paranormal,291544,Paranormal,"Drama,Horror,Mystery",2.4,152.0
tt15378764,You're Melting!,1022479,You're Melting!,Horror,6.3,24.0
tt15382924,The Dreadful Place,1158697,The Dreadful Place,Horror,4.5,36.0
tt15387782,Escape the Undertaker,871875,,,4.2,1202.0
tt15397510,La perdición,870664,La perdición,"Horror,Thriller",,
tt15404618,Bliss of Evil,1038378,Bliss of Evil,"Horror,Thriller",5.4,78.0
tt15415012,Morbid,1009719,Morbid,Horror,3.4,235.0
tt15427038,REDRUM,1105976,,,,
tt15427420,H.P. Lovecraft's Witch House,988165,H.P. Lovecraft's Witch House,Horror,2.6,386.0
tt15428230,Variation Hydra,737000,Variation Hydra,Action,4.6,20.0
tt1543244,Hong Kong Mermaids,1298814,Xiang dao mei ren yu,"Comedy,Romance",,
tt15435720,That Halloween,891514,,,6.3,26.0
tt15438496,Changeling,943519,,,5.5,35.0
tt15444960,Seaborne,1032115,,,,
tt15457802,Ooru Peru Bhairavakona,1030109,Ooru Peru Bhairavakona,"Fantasy,Thriller",5.7,1826.0
tt1545986,Dinoshark,35074,Dinoshark,"Action,Adventure,Comedy",3.2,3130.0
tt15465008,Jason Still Lives Part 2: The Ski Resort Murders,1313837,Jason Still Lives Part II - The Ski Resort Murders,"Crime,Drama,Horror",,
tt15470856,Saint Drogo,876802,Saint Drogo,"Horror,Mystery",6.8,48.0
tt1548549,Those Days in the Heaven,367333,Those Days in the Heaven,"Drama,Horror",7.5,24.0
tt1548909,Blood Kisses,971757,Blood Kisses,"Drama,Horror,Mystery",3.6,45.0
tt1550506,Hive Mind,746891,Hive Mind,"Horror,Sci-Fi",5.5,44.0
tt15514630,Thank You For Nothing,879486,,,,
tt1555954,Jeritan Kuntilanak,237394,Jeritan Kuntilanak,Horror,5.0,26.0
tt15574270,I Saw the TV Glow,858017,I Saw the TV Glow,"Drama,Horror,Mystery",5.8,44795.0
tt15614226,Scream of the Blind Dead,916489,,,3.8,89.0
tt1564906,The Chasing World 2,602547,The Chasing World 2,Thriller,5.2,44.0
tt1565441,The Dead and the Damned,71548,,,3.1,806.0
tt15655482,The Hermits,1202043,Les autarciques,Horror,4.2,57.0
tt15659932,Better Safe Than Sorry,881828,,,,
tt1566587,Little Black Box,1172776,,,,
tt15692016,"Inch Thick, Knee Deep",892079,,,7.5,17.0
